XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
XXX;;;;;;;;;
8050846066878;OBAGB206-EVS00-048; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;48;mattone;brick
8050846066885;OBAGB206-EVS00-224; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;224;verde inglese;english green
8050846013018;OBAGB206-EVS00-486; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;486;pink;pink
8050846006928;OBAGB206-EVS00-347; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;347;cedro;cedro
8050846064331;OBAGB206-EVS00-587; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;587;celery green;celery green
8050846064324;OBAGB206-EVS00-588; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;588;orchidea;orchid
8050846066861;OBAGB206-EVS00-589; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;589;lily grey;lily grey
CodeBarre;OBAGB206-EVS00-071; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;71;roccia;rock
8050846066892;OBAGB206-EVS00-602; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;602;viola scuro;dark violet
8056098530099;OBAGB206-EVS00-017; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;17;blu navy;blue navy
8051770309703;OBAGB206-EVS00-055; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;55;nero;black
8050450215655;OBAGB206-EVS00-078; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;78;sabbia;sand
8056099179617;OBAGB206-EVS00-371; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;371;latte;milk
CodeBarre;OBAGB206-EVS00-158; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;158;vulcano;vulcano
CodeBarre;OBAGB206-EVS00-422; O bag spring 19;18; scocca O pocket;OBAGB206;EVS00;422;sangria;sangria
8050846063488;OBAGB451-ECS07-017; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;17;blu navy;blue navy
8050846063464;OBAGB451-ECS07-055; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;55;nero;black
8050846063525;OBAGB451-ECS07-026; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;26;cobalto;cobalt blue
8050846063570;OBAGB451-ECS07-078; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;78;sabbia;sand
8050846063563;OBAGB451-ECS07-048; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;48;mattone;brick
8050846063518;OBAGB451-ECS07-088; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;88;turchese;turquoise
8050846063532;OBAGB451-ECS07-347; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;347;cedro;cedro
8050846063495;OBAGB451-ECS07-587; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;587;celery green;celery green
8050846063471;OBAGB451-ECS07-371; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;371;latte;milk
8050846063501;OBAGB451-ECS07-588; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;588;orchidea;orchid
8050846063549;OBAGB451-ECS07-422; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;422;sangria;sangria
8050846063556;OBAGB451-ECS07-589; O bag spring 19;19; scocca completo O bag;OBAGB451;ECS07;589;lily grey;lily grey
8050846035133;HLESCE01-ECS00-055; O bag spring 19;22;" Manico doppia catena a ""t""";HLESCE01;ECS00;55;nero + argento;black + silver
CodeBarre;HLESCE01-ECS00-017; O bag spring 19;22;" Manico doppia catena a ""t""";HLESCE01;ECS00;17;blu navy + oro;blue navy + gold
