XXXCode barre;Code compact;Catalogue;Page;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
XXX;;;;;;;;;
XXX;ATTENTION au format des colonnes !;;;;;;;;
XXX;Avant toute edition, changer les formats des colonnes suivantes :;;;;;;;;
XXX;Code Barre :;; numerique sans decimales;;;;;;
XXX;Code Couleur :;;" numerique format ""000""";;;;;;
CodeBarre;OCLKD001-MES02-059; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;59;oceano;ocean
CodeBarre;OCLKD001-MES02-055; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;55;nero;black
CodeBarre;OCLKD001-MES02-077; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;77;rubino;ocean
CodeBarre;OCLKD001-MES02-086; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;86;tortora;dove-grey
CodeBarre;OCLKD001-MES02-014; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;14;blu elettrico;electric blue
CodeBarre;OCLKD001-MES02-039; O bag 2018 .continuativo carry over;48; O clock meccanismo pave;OCLKD001;MES02;39;grigio;grey
CodeBarre;OCLKD001-MES09-061; O bag 2018 .continuativo carry over;49; O clock meccanismo crystal;OCLKD001;MES09;61;oro;gold
CodeBarre;OCLKD001-MES09-004; O bag 2018 .continuativo carry over;49; O clock meccanismo crystal;OCLKD001;MES09;4;argento;silver
CodeBarre;OCLKD001-MES10-008; O bag 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;8;bianco;white
CodeBarre;OCLKD001-MES10-055; O bag 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;55;nero;black
CodeBarre;OCLKD001-MES10-013; O bag 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;13;blu capri;capri blue
CodeBarre;OCLKD001-MES10-004; O bag 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;4;argento;silver
CodeBarre;OCLKD001-MES10-041; O bag 2018 .continuativo carry over;49; O clock meccanismo glitter;OCLKD001;MES10;41;grigio scuro;dark grey
CodeBarre;OCLKD001-MES07-008; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;8;bianco;white
CodeBarre;OCLKD001-MES07-133; O bag 2018 .continuativo carry over;50; O clock meccanismo numeri;OCLKD001;MES07;133;grigio chiaro;light grey
