codeBarre;Code compact;Catalogue;p000-01;Libelle produit;Modele;Code piece;Code couleur;Couleur it;Couleur en
codeBarre;HLESAD01-FAS09-137; O bag winter 2018;p026-07; manichetto tubolare corto +;HLESAD01;FAS09;137;bluette;bright blue
8050846014909;HLESAD00-ECS00-017; O bag winter 2018;p027-01; manichetto tubolare ecopelle;HLESAD00;ECS00;017;blu navy;navy blue
8050846009875;HLESFC00-ECS08-009; O bag winter 2018;p027-01; manico con fibbia corto;HLESFC00;ECS08;009;blu;blue
8050846035089;HLESAD00-ECS00-018; O bag winter 2018;p027-02; manichetto tubolare ecopelle;HLESAD00;ECS00;018;bordeaux;burgundy
8050450212388;HLESFC00-ECS08-018; O bag winter 2018;p027-02; manico con fibbia corto;HLESFC00;ECS08;018;bordeaux;burgundy
8050846002586;HLESAD00-ECS00-055; O bag winter 2018;p027-03; manichetto tubolare ecopelle;HLESAD00;ECS00;055;nero;black
8050450212395;HLESFC00-ECS08-055; O bag winter 2018;p027-03; manico con fibbia corto;HLESFC00;ECS08;055;nero;black
8050846045750;HLESAD00-ECS00-084; O bag winter 2018;p027-04; manichetto tubolare ecopelle;HLESAD00;ECS00;084;testa di moro;dark brown
8050450212401;HLESFC00-ECS08-084; O bag winter 2018;p027-04; manico con fibbia corto;HLESFC00;ECS08;084;testa di moro;dark brown
8050450212418;HLESFC00-ECS08-089; O bag winter 2018;p027-05; manico con fibbia corto;HLESFC00;ECS08;089;verde;green
codeBarre;HLESFC00-ECS08-183; O bag winter 2018;p027-06; manico con fibbia corto;HLESFC00;ECS08;183;viola;violet
8050846042384;HLESF800-ECS94-017; O bag winter 2018;p028-01; manico con fibbia a goccia;HLESF800;ECS94;017;blu navy;navy blue
8050846049154;HLESF800-ECS94-055; O bag winter 2018;p028-02; manico con fibbia a goccia;HLESF800;ECS94;055;nero;black
8050846042407;HLESF800-ECS94-075; O bag winter 2018;p028-03; manico con fibbia a goccia;HLESF800;ECS94;075;rosa smoke;rose smoke
8050846042391;HLESF800-ECS94-133; O bag winter 2018;p028-04; manico con fibbia a goccia;HLESF800;ECS94;133;grigio chiaro;light grey
8050846042377;HLESF800-ECS94-134; O bag winter 2018;p028-05; manico con fibbia a goccia;HLESF800;ECS94;134;antracite;anthracite
8050846049215;HLESF800-ECS94-559; O bag winter 2018;p028-06; manico con fibbia a goccia;HLESF800;ECS94;559;rame;copper
codeBarre;HLESF800-ECS94-038; O bag winter 2018;p029-01; manico con fibbia a goccia;HLESF800;ECS94;038;grafite;graphite
codeBarre;HLESGC00-ECS04-093; O bag winter 2018;p029-01; manico corto ecopelle;HLESGC00;ECS04;093;vino;wine
codeBarre;HLESGC00-ECS29-017; O bag winter 2018;p029-01; manico corto ecopelle;HLESGC00;ECS29;017;blu navy;navy blue
codeBarre;HLESMD00-ECS46-017; O bag winter 2018;p029-01; micromanico tubolare corto;HLESMD00;ECS46;017;blu navy;navy blue
codeBarre;HLESF800-ECS94-051; O bag winter 2018;p029-02; manico con fibbia a goccia;HLESF800;ECS94;051;mostarda;mostarda
codeBarre;HLESGC00-ECS04-183; O bag winter 2018;p029-02; manico corto ecopelle;HLESGC00;ECS04;183;viola;violet
codeBarre;HLESGC00-ECS29-018; O bag winter 2018;p029-02; manico corto ecopelle;HLESGC00;ECS29;018;bordeaux;burgundy
codeBarre;HLESMD00-ECS46-018; O bag winter 2018;p029-02; micromanico tubolare corto;HLESMD00;ECS46;018;bordeaux;burgundy
codeBarre;HLESF800-ECS94-137; O bag winter 2018;p029-03; manico con fibbia a goccia;HLESF800;ECS94;137;bluette;bluette
codeBarre;HLESGC00-ECS04-017; O bag winter 2018;p029-03; manico corto ecopelle;HLESGC00;ECS04;017;blu navy;navy blue
codeBarre;HLESGC00-ECS29-055; O bag winter 2018;p029-03; manico corto ecopelle;HLESGC00;ECS29;055;nero;black
codeBarre;HLESMD00-ECS46-020; O bag winter 2018;p029-03; micromanico tubolare corto;HLESMD00;ECS46;020;bronzo;bronze
codeBarre;HLESF800-ECS94-042; O bag winter 2018;p029-04; manico con fibbia a goccia;HLESF800;ECS94;042;legno;wood
codeBarre;HLESGC00-ECS04-026; O bag winter 2018;p029-04; manico corto ecopelle;HLESGC00;ECS04;026;cobalto;cobalt blue
codeBarre;HLESGC00-ECS29-084; O bag winter 2018;p029-04; manico corto ecopelle;HLESGC00;ECS29;084;testa di moro;dark brown
codeBarre;HLESMD00-ECS46-055; O bag winter 2018;p029-04; micromanico tubolare corto;HLESMD00;ECS46;055;nero;black
