'030;420222909-KG;Document Date doc. Client dest.;-;-;CodeBarre;PROF949_2019TOULOUSE.txt
'021;023;OCLKS007-SIS01-071-S;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-03;O CLOCK BRACELET COVER EN SILICONE;S
'020;009;OCLKS007-SIS01-059-M;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-04;O CLOCK BRACELET COVER EN SILICONE;M
'019;009;OCLKS007-SIS01-059-S;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-04;O CLOCK BRACELET COVER EN SILICONE;S
'018;015;OCLKS007-SIS01-055-M;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-06;O CLOCK BRACELET COVER EN SILICONE;M
'017;015;OCLKS007-SIS01-055-S;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-06;O CLOCK BRACELET COVER EN SILICONE;S
'024;003;OCLKS007-SIS01-086-M;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-07;O CLOCK BRACELET COVER EN SILICONE;M
'023;003;OCLKS007-SIS01-086-S;spring 2019 presentation/catalogo Spring 19 continuativo.txt;p050-1-07;O CLOCK BRACELET COVER EN SILICONE;S
'018;015;OCLKS007-SIS01-055-M;spring 2019 presentation/catalogo capsule San Valentino 19.txt;p023-1-02;O CLOCK BRACELET COVER EN SILICONE;M
'017;015;OCLKS007-SIS01-055-S;spring 2019 presentation/catalogo capsule San Valentino 19.txt;p023-1-02;O CLOCK BRACELET COVER EN SILICONE;S
'009;008;OBAGS002-TES01-008;spring 2019 presentation/catalogo capsule matelasseÌe 19.txt;p014-1-01;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
'012;012;OBAGS002-TES01-055;spring 2019 presentation/catalogo capsule matelasseÌe 19.txt;p014-1-03;POCHETTE INTERIEURE FERMETURE ECLAIR O BAG MINI EN TISSU CANVAS;UNICA
